ID,Title,Yrke,,,Utbildning ,Timestamp,,,,,Timestamp
169,Sjuksköterska till resursen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770540984,,,,,
170,Sjuksköterska - Psykiatri,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770544326,,,,,
171,Sjuksköterska till hemsjukvårdsenhet,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770548714,,,,,
172,Sjuksköterska till Barnkliniken,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770551790,,,,,
173,Sjuksköterska till Hemsjukvården,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770554704,,,,,
174,Sjuksköterska Sjukvårdens larmcentral,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770557578,,,,,
175,Sommarvikariat - Sjuksköterska,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770561557,,,,,
176,Sjuksköterska inom LSS,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770564489,,,,,
177,Distriktsjuksköterska/ Sjuksköterska ASIH,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770567721,,,,,
178,Sjuksköterska till Skövde,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770571136,,,,,
179,Sjuksköterska till hjärtavdelning,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770575074,,,,,
180,Sjuksköterska till Varberg,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort CE -",441770578842,,,,,
181,Leg sjuksköterska Kattrumpstullen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770582515,,,,,
182,Sjuksköterska till vårdcentral,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770590969,,,,,
183,Sjuksköterska till akutmottagningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770593952,,,,,
184,Sjuksköterska till Patienthotellet,Sjuksköterska -,,,Körkort B -,441770596955,,,,,
185,"Sjuksköterska, dialysavdelningen, Lycksele",Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770600021,,,,,
186,Sjuksköterska till Värmland Dedicare AB,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770604132,,,,,
187,Sjuksköterska till akutvårdsavdelningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770606961,,,,,
188,Sjuksköterska till hemsjukvården,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770610741,,,,,
189,Sjuksköterska Psykiatrimottagning Malung,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770618551,,,,,
190,Sjuksköterska ASIH Södertälje,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770621669,,,,,
191,Sjuksköterska Dialysmottagning Bollnäs,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770625185,,,,,
192,sjuksköterska till socialpsykiatrin,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770628167,,,,,
193,Legitimerad sjuksköterska natt,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770632208,,,,,
194,Sjuksköterska till ortopedmottagningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770635848,,,,,
195,Sjuksköterska till neurologiavdelningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770639450,,,,,
196,Leg. Sjuksköterska natt,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770642326,,,,,
197,Sjuksköterska till dialysmottagningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770645277,,,,,
198,Sjuksköterska med nattjänstgöring,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770649627,,,,,
199,Jourhavande sjuksköterska joursjukvård,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770653369,,,,,
200,Sjuksköterska för specialuppdrag,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770656442,,,,,
201,Sjuksköterska till rehabavdelningen,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770659900,,,,,
202,Sjuksköterska till vårdavdelning!,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770664914,,,,,
203,Sjuksköterska till Hemsjukvården,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441770671706,,,,,
204,Lastbilsförare,Lastbilsförare -,,,Körkort CE -,441770805471,,,,,
205,Åkeri söker lastbilsförare (CE),Lastbilsförare -,,,"Gymnasiet -, Körkort CE -",441770808139,,,,,
206,Lastbilsförare B och C körkort,Lastbilsförare -,,,"Gymnasiet -, Körkort CE -",441770811629,,,,,
207,Lastbilschaufför CE-behörighet till Transport och Fordon i Lund,Lastbilsförare -,,,Körkort CE -,441770814439,,,,,
208,Lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770817482,,,,,
209,Lastbilschaufför med CE-kort i Örebro,Lastbilsförare -,,,Körkort CE -,441770820658,,,,,
210,Direktsäljande lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770825970,,,,,
211,Lastbilschaufför - Kranväxlare,Lastbilsförare -,,,Körkort CE -,441770834483,,,,,
212,Lastbilschaufför sökes,Lastbilsförare -,,,Körkort CE -,441770837322,,,,,
213,Distributionschaufför Skellefteå,Lastbilsförare -,,,Körkort CE -,441770841203,,,,,
214,Lastbilschaufför med lagervana,Lastbilsförare -,,,Körkort CE -,441770844250,,,,,
215,Lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770847537,,,,,
216,Spolbilschaufförer sökes,Lastbilsförare -,,,Körkort CE -,441770850812,,,,,
217,Lastbilschaufför Lastväxlare,Lastbilsförare -,,,Körkort CE -,441770855216,,,,,
218,Kran/lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770859636,,,,,
219,Lasbilschaufför,Lastbilsförare -,,,Körkort CE -,441770862249,,,,,
220,Chaufför med CE-kort sökes!,Lastbilsförare -,,,Körkort CE -,441770869170,,,,,
221,Mångsidig Lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770871411,,,,,
222,Lastbilschaufför,Lastbilsförare -,,,Körkort CE -,441770936389,,,,,
223,Vi söker duktiga lastbilschaufför!,Lastbilsförare -,,,Körkort CE -,441770939279,,,,,
224,Vill du bli en lastbilschaufför? Nu har du chansen!,Lastbilsförare -,,,Körkort CE -,441770944072,,,,,
225,"Semestervikarierande busschaufförer, lastbilschaufförer och maskinförare",Lastbilsförare -,,,Körkort CE -,441770947588,,,,,
